inputfile,mcc,auc,balance,fmeasure,precision,pd,pf
ant-1.3.csv,0.3605008661,0.7394047619,0.67944363,0.4450747252,0.30045832920000004,0.8950000000000001,0.4161904763
camel-1.0.csv,0.10446372959999999,0.6258018648,0.5389679584,0.10390993150000001,0.055980590600000005,0.8233333334000001,0.5717296036999999
jedit-3.2.csv,0.5018907359000001,0.7581381382999999,0.7374325786999999,0.6764046244000002,0.6101369616000001,0.7855555554,0.2692792792
log4j-1.0.csv,0.43331925690000006,0.7334761904,0.7168064487,0.5925147225,0.5130474509999999,0.7361904763999999,0.2692380953
xalan-2.4.csv,0.2617977574,0.6792737450999999,0.6368730723,0.3762320501,0.24498230850000002,0.8318181816999999,0.4732706918
EQ.csv,0.53065233,0.7691076922999999,0.7534963924,0.730619215,0.6554737343999999,0.8320615386,0.2938461537
JDT.csv,0.4979160215999999,0.7897446011,0.7877961299,0.6067999214,0.4912681524,0.7973054589,0.2178162567
ML.csv,0.3144111599,0.7273883258,0.7132843378,0.3931749163,0.26091350039999994,0.8044897959,0.3497131444
PDE.csv,0.2903323744,0.7052674728,0.6940662776,0.3880618827,0.26085529650000006,0.7633449477,0.352810002
CM1.arff,0.2453253783,0.6756578949,0.5825920068999999,0.3196270472999999,0.19376026530000004,0.931666667,0.5803508770999999
MW1.arff,0.3287968564,0.7542222223,0.7198300282,0.3709084027,0.24525057749999996,0.776,0.2675555555
PC1.arff,0.25886420600000004,0.7351242816,0.6529007086,0.25808871559999996,0.14958667500000003,0.9527272729000001,0.48247870950000005
PC3.arff,0.3331429268,0.7511265027999999,0.7095947476,0.3835086959,0.2444640059,0.8953846153,0.39313160980000006
PC4.arff,0.3348247524,0.7411315494,0.6770097579000002,0.39587810990000005,0.25172103349999997,0.9324285713,0.4501654727
Safe.arff,0.5127549758000001,0.7313095237,0.6574260875,0.6997056278,0.7040606062,0.785,0.3223809523
Zxing.arff,0.3015138735999999,0.6617968834999999,0.6230118335,0.5477016440000001,0.4135550405,0.8175724638,0.4939786967
ar1.csv,0.15083048429999998,0.6427865612,0.5508489849999999,0.1939570429,0.11452502469999999,0.75,0.46442687749999995
ar3.csv,0.7172024266,0.8690909094,0.8477467973999999,0.76,0.7400000002,0.8,0.061818182199999995
ar4.csv,0.4648089394,0.7372385621,0.6962216086,0.5604854459999999,0.5623916637999999,0.655,0.18052287569999997
ar5.csv,0.6140941717,0.8276666668000001,0.7928234124,0.6906666668000001,0.6199999998999999,0.8400000000000001,0.18466666679999996
ar6.csv,0.2550336949,0.6689542482999999,0.5943367537,0.366486165,0.23902610620000003,0.8400000001000002,0.5020915031000001
