inputfile,mcc,auc,balance,fmeasure,precision,pd,pf,final ratio
ant-1.3.csv,0.489940738,0.791190476,0.754547656,0.562798267,0.466645188,0.77,0.187619048,0.261599298
camel-1.0.csv,0.282595347,0.733573427,0.670457244,0.277835712,0.20354314,0.57,0.102853147,0.053808217
jedit-3.2.csv,0.496599455,0.749084084,0.726034375,0.658675809,0.648811079,0.697777778,0.19960961,0.415186305
log4j-1.0.csv,0.498612172,0.738142857,0.688860991,0.604098878,0.659130592,0.597142857,0.120857143,0.29812993
xalan-2.4.csv,0.335147068,0.704919366,0.681325777,0.443227471,0.354217768,0.61,0.200161269,0.261488436
EQ.csv,0.544212942,0.773107692,0.739174573,0.737175588,0.643523811,0.875446154,0.329230769,0.52761787
JDT.csv,0.510941643,0.738584316,0.678934386,0.596320988,0.662514596,0.554250871,0.077082239,0.315981153
ML.csv,0.306306746,0.666093303,0.602256762,0.404459494,0.369428913,0.450612245,0.118425639,0.224906409
PDE.csv,0.340274046,0.670983104,0.595900059,0.432256852,0.431155754,0.436817654,0.094851446,0.252650823
CM1.arff,0.23270854,0.629444444,0.55981881,0.335439433,0.306545933,0.425555555,0.166666667,0.241498144
MW1.arff,0.306021355,0.707555556,0.682719886,0.374029451,0.281071456,0.608,0.192888889,0.127543043
PC1.arff,0.345736245,0.664967038,0.55846186,0.385957775,0.430254953,0.378181818,0.048247742,0.152264176
PC3.arff,0.341124184,0.739350922,0.728258562,0.413762007,0.290059242,0.738461539,0.259759694,0.19609867
PC4.arff,0.424886777,0.721710859,0.666047403,0.499385839,0.491111769,0.545365079,0.101943362,0.23361625
Safe.arff,0.433455442,0.702595238,0.644896586,0.657652681,0.624833333,0.749,0.343809524,0.513544026
Zxing.arff,0.247519626,0.632908767,0.609359847,0.515480814,0.395853342,0.745253623,0.47943609,0.619094149
ar1.csv,0.262571782,0.750039526,0.651372399,0.247718393,0.142715562,0.98,0.479920949,0.242410313
ar3.csv,0.571232603,0.814545455,0.771183962,0.62,0.576666667,0.7,0.070909091,0.249967618
ar4.csv,0.464067349,0.698398693,0.613752088,0.521222222,0.686333334,0.46,0.063202615,0.263649472
ar5.csv,0.698255132,0.877333333,0.835658024,0.744,0.666666667,0.95,0.195333333,0.399172094
ar6.csv,0.30323784,0.679084967,0.60234591,0.390386003,0.34496004,0.593333333,0.235163399,0.319439136
